filepath,series,title,number,summary,year,month,writer,artist,publisher,format
Doctor Strange- Epic Collection/Volume #09 - The Vampiric Verses.cbz,Doctor Strange: Epic Collection,The Vampiric Verses,9,"Doctor Strange, Sorcerer Supreme (1988) #14-33 & Ghost Rider (1990) #12",2021,,"Roy Thomas, Dann Thomas, Jean-Marc Lofficier, Randy Lofficier, Fabian Nicieza, Howard Mackie","Butch Guice, Geof Isherwood, Gene Colan, Ron Lim, Chris Marrinan, Javier Saltares, David Day, Dan Day, Jim Valentino, Lee Weeks, Tony DeZuniga, Larry Alexander",Marvel,Trade Paperback
Doctor Strange- Epic Collection/Volume #13 - Afterlife.cbz,Doctor Strange: Epic Collection,Afterlife,13,"Strange Tales (1994) #1, Doctor Strange, Sorcerer Supreme (1988) #76-90, Ashcan Edition, & Doctor Strange: What is it That Disturbs You, Stephen? (1997)",2017,,"Kurt Busiek, David Quinn, Evan Skolnick, Warren Ellis, Todd Dezago, J.M. DeMatteis, Marc Andreyko","Ricardo Villagran, Peter Gross, Richard Pace, Marie Severin, Mark Buckingham, Patch Zircher, Pasqual Ferry, P. Craig Russell, Gary Frank",Marvel,Trade Paperback
DuckTales (2018)/DuckTales (2018) #00.cbz,DuckTales (2018),Treasure Trove,0,DuckTales (2018) #0-2,2018,2,"Joe Caramagna, Joey Cavalieri","Andrea Greppi, Gianfranco Florio, Luca Usai",IDW,Comic
DuckTales (2018)/DuckTales (2018) #03.cbz,DuckTales (2018),Cheating Like Nostradogmus! & Beware of the Phenomenal Pumpkin People!,3,,2017,11,Joey Cavalieri,"Luca Usai, Graziano Barbaro, Andrea Greppi, Roberta Zanotta",IDW,Comic
DuckTales (2018)/DuckTales (2018) #04.cbz,DuckTales (2018),"Happy, Happy Valley! & Fight!",4,,2017,12,"Joey Cavalieri, Joe Caramagna","Luca Usai, Graziano Barbaro, Andrea Greppi, Roberta Zanotta",IDW,Comic
DuckTales (2018)/DuckTales (2018) #05.cbz,DuckTales (2018),"Go, Go, Golden Years! & A Series of Unfortunate Substitutions!",5,,2018,1,"Joey Cavalieri, Joe Caramagna","Emilio Urbano, Andrea Greppi, Michela Frare, Cristina Stella, Antonello Dalena, Manuela Razzi, Gianfranco Florio, Roberto Zanotta",IDW,Comic
DuckTales (2018)/DuckTales (2018) #06.cbz,DuckTales (2018),Welcome to Beagle Island & The Giant Butterfly of Duckburg,6,,2018,2,"Joey Cavalieri, Joe Caramagna","Gianfranco Florio, Graziano Barbaro, Marco Ghiaione, Michela Frare",IDW,Comic
DuckTales (2018)/DuckTales (2018) #07.cbz,DuckTales (2018),There is No Place Like a Ghost Town! & The Stone of Truth!,7,,2018,3,Joe Caramagna,"Luca Usai, Antonello Dalena, Andrea Greppi, Gianfranco Florio, Michela Frare",IDW,Comic
DuckTales (2018)/DuckTales (2018) #08.cbz,DuckTales (2018),The Beast in the Board Room! & Sleep (Walk) of Doom!,8,,2018,4,"Joe Caramagna, Steve Behling","Luca Usai, Gianfranco Florio",IDW,Comic
DuckTales (2018)/DuckTales (2018) #09.cbz,DuckTales (2018),The Risk McDuck Refused! & The Frightful Family Fishing Trip!,9,,2018,5,"Joey Cavalieri, Steve Behling, Alessandro Ferrari","Gianfranco Florio, Ciro Cangialosi, Cristina Stella",IDW,Comic
DuckTales (2018)/DuckTales (2018) #10.cbz,DuckTales (2018),A Hedge Enigma! & The Twisted Tale of the Two-Headed Horse!,10,,2018,6,"Steve Behling, Joe Caramagna","Emilio Urbano, Luca Usai, Ciro Cangialosi, Cristina Giorgilli",IDW,Comic
DuckTales (2018)/DuckTales (2018) #11.cbz,DuckTales (2018),Horror in the Highlands! & Nightmare on Bear Mountain!,11,,2018,7,"Joey Cavalieri, Steve Behling","Luca Usai, Antonello Dalena, Danilo Liozedda, Cristina Stella",IDW,Comic
DuckTales (2018)/DuckTales (2018) #12.cbz,DuckTales (2018),"The Greatest Adventure, The Greatest Price! & When Luck Ran Out!",12,,2018,8,"Joey Cavalieri, Steve Behling","Emilio Urbano, Andrea Greppi, Cristina Stella, Gianfranco Florio",IDW,Comic
DuckTales (2018)/DuckTales (2018) #13.cbz,DuckTales (2018),Countdown to Termination! & The Mighty Ducks of Duckburg!,13,,2018,9,Joe Caramagna,"Ciro Cangialosi, Andrea Greppi, Cristina Stella, Luca Usai",IDW,Comic
DuckTales (2018)/DuckTales (2018) #14.cbz,DuckTales (2018),The Monsters Are Due at McDuck Manor!,14,,2018,10,Steve Behling,Gianfranco Florio,IDW,Comic
DuckTales (2018)/DuckTales (2018) #15.cbz,DuckTales (2018),The Greatest Invention He’s Never Had!,15,,2018,11,Joe Caramagna,"Ciro Cangialosi, Danilo Liozedda, Cristina Stella, Luca Usai",IDW,Comic
DuckTales (2018)/DuckTales (2018) #16.cbz,DuckTales (2018),The Incredible Shrinking Webby!,16,,2018,12,Steve Behling,Gianfranco Florio,IDW,Comic
DuckTales (2018)/DuckTales (2018) #17.cbz,DuckTales (2018),Marooned in Mystery Mansion!,17,,2019,1,Joey Cavalieri,"Ciro Cangialosi, Danilo Liozedda, Cristina Stella, Luca Usai",IDW,Comic
DuckTales (2018)/DuckTales (2018) #18.cbz,DuckTales (2018),Money-Grubbing Hooligans from the Deep,18,,2019,2,Joe Caramagna,"Emilio Urbano, Gianfranco Florio",IDW,Comic
DuckTales (2018)/DuckTales (2018) #19.cbz,DuckTales (2018),Flintheart… McDuck?!?,19,,2019,3,Steve Behling,"Emilio Urbano, Gianfranco Florio",IDW,Comic
DuckTales (2018)/DuckTales (2018) #20.cbz,DuckTales (2018),Saga of the Super Intern!,20,,2019,4,Joe Caramagna,"Luca Usai, Ciro Cangialosi, Cristina Stella, Danilo Liozedda",IDW,Comic
Eve (2022)/Volume #01.cbz,Eve (2022),Volume #01,1,Eve (2022) #1-5,2022,,Victor LaValle,Jo Mi-Gyeong,Boom,Trade Paperback
Eve- Children of the Moon (2023)/Volume #01.cbz,Eve: Children of the Moon (2023),Volume #01,1,Eve: Children of the Moon (2023) #1-5,2023,,Victor LaValle,Jo Mi-Gyeong,Boom,Trade Paperback
Fence (2018)/Volume #01.cbz,Fence (2018),Volume #01,1,Fence (2017) #1-4,2018,7,C.S. Pacat,Johanna the Mad,Boom,Trade Paperback
Fence (2018)/Volume #02.cbz,Fence (2018),Volume #02,2,Fence (2017) #5-8,2019,1,C.S. Pacat,Johanna the Mad,Boom,Trade Paperback
Fence (2018)/Volume #03.cbz,Fence (2018),Volume #03,3,Fence (2017) #9-12,2019,3,C.S. Pacat,Johanna the Mad,Boom,Trade Paperback
Fence (2018)/Volume #04 - Rivals.cbz,Fence (2018),Rivals,4,,2020,5,C.S. Pacat,Johanna the Mad,Boom,Trade Paperback
Godshaper (2018)/Volume #01.cbz,Godshaper (2018),Volume #01,1,Godshaper (2018) #1-6,2018,,Simon Spurrier,Jonas Goonface,Boom,Trade Paperback
Gotham Academy (2014)/Volume #01 - Welcome to Gotham Academy.cbz,Gotham Academy (2014),Welcome to Gotham Academy,1,Gotham Academy (2014) #1-6,2015,,"Becky Cloonan, Brenden Fletcher",Karl Kerschl,DC,Trade Paperback
Gotham Academy (2014)/Volume #02 - Calamity.cbz,Gotham Academy (2014),Calamity,2,Gotham Academy (2014) #7-12,2016,,"Becky Cloonan, Brenden Fletcher","Karl Kerschl, Mingjue Helen Chen",DC,Trade Paperback
Gotham Academy (2014)/Volume #03 - Yearbook.cbz,Gotham Academy (2014),Yearbook,3,"Gotham Academy (2014) #13-18, Annual #1",2016,,Brenden Fletcher,Adam Archer,DC,Trade Paperback
Higher Earth (2012)/Volume #01.cbz,Higher Earth (2012),Volume #01,1,Higher Earth (2012) #1-5,2012,,Sam Humphries,"Francesco Biagini, Manuel Bracchi, Joe Eisma",Boom,Trade Paperback
Incredibles 2- Crisis in Mid-Life and Other Stories (2018)/Incredibles 2- Crisis in Mid-Life and Other Stories (2018) #01.cbz,Incredibles 2: Crisis in Mid-Life and Other Stories (2018),"Crisis in Mid-Life!, Bedtime Story, & A Relaxing Day at the Park",1,"Crisis in Mid-Life! (1 of 3), Bedtime Story (1 or 3), & A Relaxing Day at the Park",2018,7,"Christos Gage, Landry Q. Walker","Gurihiru, J Bone, Andrea Greppi",Dark Horse,Comic
Incredibles 2- Crisis in Mid-Life and Other Stories (2018)/Incredibles 2- Crisis in Mid-Life and Other Stories (2018) #02.cbz,Incredibles 2: Crisis in Mid-Life and Other Stories (2018),"Crisis in Mid-Life!, Bedtime Story, & How the Cookie Crumbles",2,"Crisis in Mid-Life! (2 of 3), Bedtime Story (2 or 3), & How the Cookie Crumbles",2018,8,"Christos Gage, Landry Q. Walker","Gurihiru, J Bone, Andrea Greppi",Dark Horse,Comic
Incredibles 2- Crisis in Mid-Life and Other Stories (2018)/Incredibles 2- Crisis in Mid-Life and Other Stories (2018) #03.cbz,Incredibles 2: Crisis in Mid-Life and Other Stories (2018),Crisis in Mid-Life! & Bedtime Story,3,Crisis in Mid-Life! (3 of 3) & Bedtime Story (3 or 3),2018,9,Christos Gage,"Gurihiru, J Bone",Dark Horse,Comic
Incredibles 2- Secret Identities (2019)/Incredibles 2- Secret Identities (2019) #01.cbz,Incredibles 2: Secret Identities (2019),Part 1,1,,2019,4,Christos Gage,Jean-Claudio Vinci,Dark Horse,Comic
Incredibles 2- Secret Identities (2019)/Incredibles 2- Secret Identities (2019) #02.cbz,Incredibles 2: Secret Identities (2019),Part 2,2,,2019,5,Christos Gage,Jean-Claudio Vinci,Dark Horse,Comic
Incredibles 2- Secret Identities (2019)/Incredibles 2- Secret Identities (2019) #03.cbz,Incredibles 2: Secret Identities (2019),Part 3,3,,2019,6,Christos Gage,Jean-Claudio Vinci,Dark Horse,Comic
John Wick (2017)/John Wick (2017) #01.cbz,John Wick (2017),Part 1,1,,2017,,Greg Pak,Giovanni Valletta,Dynamite,Comic
John Wick (2017)/John Wick (2017) #02.cbz,John Wick (2017),Part 2,2,,2017,,Greg Pak,Giovanni Valletta,Dynamite,Comic
John Wick (2017)/John Wick (2017) #03.cbz,John Wick (2017),Part 3,3,,2018,,Greg Pak,Matt Gaudio,Dynamite,Comic
John Wick (2017)/John Wick (2017) #04.cbz,John Wick (2017),Part 4,4,,2018,,Greg Pak,Matt Gaudio,Dynamite,Comic
John Wick (2017)/John Wick (2017) #05.cbz,John Wick (2017),Part 5,5,,2019,,Greg Pak,Matt Gaudio,Dynamite,Comic
Joyride (2016)/Volume #01.cbz,Joyride (2016),Volume #01,1,Joyride (2016) #1-4,2016,,"Jackson Lanzing, Collin Kelly",Marcus To,Boom,Trade Paperback
Kong on the Planet of the Apes (2017)/Kong on the Planet of the Apes (2017) #01.cbz,Kong on the Planet of the Apes (2017),Part 1,1,,2017,11,Ryan Ferrier,Carlos Magno,Boom,Comic
Kong on the Planet of the Apes (2017)/Kong on the Planet of the Apes (2017) #02.cbz,Kong on the Planet of the Apes (2017),Part 2,2,,2017,12,Ryan Ferrier,Carlos Magno,Boom,Comic
Kong on the Planet of the Apes (2017)/Kong on the Planet of the Apes (2017) #03.cbz,Kong on the Planet of the Apes (2017),Part 3,3,,2018,1,Ryan Ferrier,Carlos Magno,Boom,Comic
Kong on the Planet of the Apes (2017)/Kong on the Planet of the Apes (2017) #04.cbz,Kong on the Planet of the Apes (2017),Part 4,4,,2018,2,Ryan Ferrier,Carlos Magno,Boom,Comic
Kong on the Planet of the Apes (2017)/Kong on the Planet of the Apes (2017) #05.cbz,Kong on the Planet of the Apes (2017),Part 5,5,,2018,3,Ryan Ferrier,Carlos Magno,Boom,Comic
Kong on the Planet of the Apes (2017)/Kong on the Planet of the Apes (2017) #06.cbz,Kong on the Planet of the Apes (2017),Part 6,6,,2018,4,Ryan Ferrier,Carlos Magno,Boom,Comic
Lone Wolf and Cub (1995)/Volume #01 - The Assassin's Road.cbz,Lone Wolf and Cub (1995),The Assassin's Road,1,,1995,,Kazuo Koike,Goseki Kojima,Dark Horse,Comic
Lone Wolf and Cub (1995)/Volume #02 - The Gateless Barrier.cbz,Lone Wolf and Cub (1995),The Gateless Barrier,2,,1995,,Kazuo Koike,Goseki Kojima,Dark Horse,Comic
Lone Wolf and Cub (1995)/Volume #03 - The Flute of The Fallen Tiger.cbz,Lone Wolf and Cub (1995),The Flute of The Fallen Tiger,3,,1995,,Kazuo Koike,Goseki Kojima,Dark Horse,Comic
Lone Wolf and Cub (1995)/Volume #04 - The Bell Warden.cbz,Lone Wolf and Cub (1995),The Bell Warden,4,,1995,,Kazuo Koike,Goseki Kojima,Dark Horse,Comic
Lone Wolf and Cub (1995)/Volume #05 - Black Wind.cbz,Lone Wolf and Cub (1995),Black Wind,5,,1995,,Kazuo Koike,Goseki Kojima,Dark Horse,Comic
Lone Wolf and Cub (1995)/Volume #06 - Lanterns for the Dead.cbz,Lone Wolf and Cub (1995),Lanterns for the Dead,6,,1995,,Kazuo Koike,Goseki Kojima,Dark Horse,Comic
"Lone Wolf and Cub (1995)/Volume #07 - Cloud Dragon, Wind Tiger.cbz",Lone Wolf and Cub (1995),"Cloud Dragon, Wind Tiger",7,,1995,,Kazuo Koike,Goseki Kojima,Dark Horse,Comic
Lone Wolf and Cub (1995)/Volume #08 - Chains of Death.cbz,Lone Wolf and Cub (1995),Chains of Death,8,,1995,,Kazuo Koike,Goseki Kojima,Dark Horse,Comic
Lone Wolf and Cub (1995)/Volume #09 - Echo of the Assassin.cbz,Lone Wolf and Cub (1995),Echo of the Assassin,9,,1995,,Kazuo Koike,Goseki Kojima,Dark Horse,Comic
Lone Wolf and Cub (1995)/Volume #10 - Hostage Child.cbz,Lone Wolf and Cub (1995),Hostage Child,10,,1995,,Kazuo Koike,Goseki Kojima,Dark Horse,Comic
Lone Wolf and Cub (1995)/Volume #11 - Talisman of Hades.cbz,Lone Wolf and Cub (1995),Talisman of Hades,11,,1995,,Kazuo Koike,Goseki Kojima,Dark Horse,Comic
Lone Wolf and Cub (1995)/Volume #12 - Shattered Stones.cbz,Lone Wolf and Cub (1995),Shattered Stones,12,,1995,,Kazuo Koike,Goseki Kojima,Dark Horse,Comic
"Lone Wolf and Cub (1995)/Volume #13 - The Moon in the East, The Sun in the West.cbz",Lone Wolf and Cub (1995),"The Moon in the East, The Sun in the West",13,,1995,,Kazuo Koike,Goseki Kojima,Dark Horse,Comic
Lone Wolf and Cub (1995)/Volume #14 - Day of the Demons.cbz,Lone Wolf and Cub (1995),Day of the Demons,14,,1995,,Kazuo Koike,Goseki Kojima,Dark Horse,Comic
Lone Wolf and Cub (1995)/Volume #15 - Brothers of the Grass.cbz,Lone Wolf and Cub (1995),Brothers of the Grass,15,,1995,,Kazuo Koike,Goseki Kojima,Dark Horse,Comic
Lone Wolf and Cub (1995)/Volume #16 - Gateway into Winter.cbz,Lone Wolf and Cub (1995),Gateway into Winter,16,,1995,,Kazuo Koike,Goseki Kojima,Dark Horse,Comic
Lone Wolf and Cub (1995)/Volume #17 - The Will of the Fang.cbz,Lone Wolf and Cub (1995),The Will of the Fang,17,,1995,,Kazuo Koike,Goseki Kojima,Dark Horse,Comic
Lone Wolf and Cub (1995)/Volume #18 - Twilight of the Kurokuwa.cbz,Lone Wolf and Cub (1995),Twilight of the Kurokuwa,18,,1995,,Kazuo Koike,Goseki Kojima,Dark Horse,Comic
Lone Wolf and Cub (1995)/Volume #19 - The Moon in Our Hearts.cbz,Lone Wolf and Cub (1995),The Moon in Our Hearts,19,,1995,,Kazuo Koike,Goseki Kojima,Dark Horse,Comic
Lone Wolf and Cub (1995)/Volume #20 - A Taste of Poison.cbz,Lone Wolf and Cub (1995),A Taste of Poison,20,,1995,,Kazuo Koike,Goseki Kojima,Dark Horse,Comic
Lone Wolf and Cub (1995)/Volume #21 - Fragrance of Death.cbz,Lone Wolf and Cub (1995),Fragrance of Death,21,,1995,,Kazuo Koike,Goseki Kojima,Dark Horse,Comic
Lone Wolf and Cub (1995)/Volume #22 - Heaven and Earth.cbz,Lone Wolf and Cub (1995),Heaven and Earth,22,,1995,,Kazuo Koike,Goseki Kojima,Dark Horse,Comic
Lone Wolf and Cub (1995)/Volume #23 - Tears of Ice.cbz,Lone Wolf and Cub (1995),Tears of Ice,23,,1995,,Kazuo Koike,Goseki Kojima,Dark Horse,Comic
Lone Wolf and Cub (1995)/Volume #24 - In These Small Hands.cbz,Lone Wolf and Cub (1995),In These Small Hands,24,,1995,,Kazuo Koike,Goseki Kojima,Dark Horse,Comic
Lone Wolf and Cub (1995)/Volume #25 - Perhaps in Death.cbz,Lone Wolf and Cub (1995),Perhaps in Death,25,,1995,,Kazuo Koike,Goseki Kojima,Dark Horse,Comic
Lone Wolf and Cub (1995)/Volume #26 - Struggle in the Dark.cbz,Lone Wolf and Cub (1995),Struggle in the Dark,26,,1995,,Kazuo Koike,Goseki Kojima,Dark Horse,Comic
Lone Wolf and Cub (1995)/Volume #27 - Battle's Eve.cbz,Lone Wolf and Cub (1995),Battle's Eve,27,,1995,,Kazuo Koike,Goseki Kojima,Dark Horse,Comic
Lone Wolf and Cub (1995)/Volume #28 - The Lotus Throne.cbz,Lone Wolf and Cub (1995),The Lotus Throne,28,,1995,,Kazuo Koike,Goseki Kojima,Dark Horse,Comic
Mech Cadets (2023)/Volume #01.cbz,Mech Cadets (2023),Volume #01,1,Mech Cadet Yu (2023) #1-12,2023,,Greg Pak,Takeshi Miyazawa,Boom,Trade Paperback
Mick de Mouse's Stories (2012)/Mick de' Mouse's Stories (2012) #01.cbz,Mick de Mouse's Stories (2012),The Sbilenque’s Stone,1,,2012,,Unknown,Unknown,Disney Comics,Comic
Mick de Mouse's Stories (2012)/Mick de' Mouse's Stories (2012) #02.cbz,Mick de Mouse's Stories (2012),The Return of the Shadow Men,2,,2012,,Unknown,Unknown,Disney Comics,Comic
Mick de Mouse's Stories (2012)/Mick de' Mouse's Stories (2012) #03.cbz,Mick de Mouse's Stories (2012),The Secret of the Seventh Meteor,3,,2012,,Unknown,Unknown,Disney Comics,Comic
Mick de Mouse's Stories (2012)/Mick de' Mouse's Stories (2012) #04.cbz,Mick de Mouse's Stories (2012),The Sea People,4,,2012,,Unknown,Unknown,Disney Comics,Comic
Mick de Mouse's Stories (2012)/Mick de' Mouse's Stories (2012) #05.cbz,Mick de Mouse's Stories (2012),The Return of the Highlanders,5,,2012,,Unknown,Unknown,Disney Comics,Comic
Mick de Mouse's Stories (2012)/Mick de' Mouse's Stories (2012) #06.cbz,Mick de Mouse's Stories (2012),Ali Baba’s Cave,6,,2012,,Unknown,Unknown,Disney Comics,Comic
Mick de Mouse's Stories (2012)/Mick de' Mouse's Stories (2012) #07.cbz,Mick de Mouse's Stories (2012),Thor’s Shield,7,,2012,,Unknown,Unknown,Disney Comics,Comic
Mick de Mouse's Stories (2012)/Mick de' Mouse's Stories (2012) #08.cbz,Mick de Mouse's Stories (2012),The Piguazul Spirit,8,,2012,,Unknown,Unknown,Disney Comics,Comic
Miles Morales- Spider-Man (2018)/Miles Morales- Spider-Man (2018) #01.cbz,Miles Morales: Spider-Man (2018),Miles Morales: Spider-Man (2018) #01,1,,2018,12,Saladin Ahmed,Javier Garrón,Marvel,Comic
Miles Morales- Spider-Man (2018)/Miles Morales- Spider-Man (2018) #02.cbz,Miles Morales: Spider-Man (2018),Miles Morales: Spider-Man (2018) #02,2,,2019,1,Saladin Ahmed,Javier Garrón,Marvel,Comic
Miles Morales- Spider-Man (2018)/Miles Morales- Spider-Man (2018) #03.cbz,Miles Morales: Spider-Man (2018),Miles Morales: Spider-Man (2018) #03,3,,2019,2,Saladin Ahmed,Javier Garrón,Marvel,Comic
Miles Morales- Spider-Man (2018)/Miles Morales- Spider-Man (2018) #04.cbz,Miles Morales: Spider-Man (2018),Miles Morales: Spider-Man (2018) #04,4,,2019,3,Saladin Ahmed,Javier Garrón,Marvel,Comic
Miles Morales- Spider-Man (2018)/Miles Morales- Spider-Man (2018) #05.cbz,Miles Morales: Spider-Man (2018),Miles Morales: Spider-Man (2018) #05,5,,2019,4,Saladin Ahmed,Javier Garrón,Marvel,Comic
Miles Morales- Spider-Man (2018)/Miles Morales- Spider-Man (2018) #06.cbz,Miles Morales: Spider-Man (2018),Miles Morales: Spider-Man (2018) #06,6,,2019,5,Saladin Ahmed,Javier Garrón,Marvel,Comic
Miles Morales- Spider-Man (2018)/Miles Morales- Spider-Man (2018) #07.cbz,Miles Morales: Spider-Man (2018),Miles Morales: Spider-Man (2018) #07,7,,2019,6,Saladin Ahmed,"Ron Adkins, Dexter Vines, Alitha E. Martinez, Vanesa R. Del Rey, Javier Garrón",Marvel,Comic
Miles Morales- Spider-Man (2018)/Miles Morales- Spider-Man (2018) #08.cbz,Miles Morales: Spider-Man (2018),Miles Morales: Spider-Man (2018) #08,8,,2019,7,Saladin Ahmed,Javier Garrón,Marvel,Comic
Miles Morales- Spider-Man (2018)/Miles Morales- Spider-Man (2018) #09.cbz,Miles Morales: Spider-Man (2018),Miles Morales: Spider-Man (2018) #09,9,,2019,8,Saladin Ahmed,Javier Garrón,Marvel,Comic
Miles Morales- Spider-Man (2018)/Miles Morales- Spider-Man (2018) #10.cbz,Miles Morales: Spider-Man (2018),Miles Morales: Spider-Man (2018) #10,10,,2019,9,Saladin Ahmed,Javier Garrón,Marvel,Comic
Miles Morales- Spider-Man (2018)/Miles Morales- Spider-Man (2018) #11.cbz,Miles Morales: Spider-Man (2018),Miles Morales: Spider-Man (2018) #11,11,,2019,10,Saladin Ahmed,"Zé Carlos, Ig Guara",Marvel,Comic
Miles Morales- Spider-Man (2018)/Miles Morales- Spider-Man (2018) #12.cbz,Miles Morales: Spider-Man (2018),Miles Morales: Spider-Man (2018) #12,12,,2019,11,Saladin Ahmed,Javier Garrón,Marvel,Comic
Miles Morales- Spider-Man (2018)/Miles Morales- Spider-Man (2018) #13.cbz,Miles Morales: Spider-Man (2018),Miles Morales: Spider-Man (2018) #13,13,,2019,12,Saladin Ahmed,"Javier Garrón, Kevin Libranda, Alitha E. Martinez",Marvel,Comic
Miles Morales- Spider-Man (2018)/Miles Morales- Spider-Man (2018) #14.cbz,Miles Morales: Spider-Man (2018),Miles Morales: Spider-Man (2018) #14,14,,2020,1,Saladin Ahmed,"Ray-Anthony Height, Zé Carlos, Belén Ortega",Marvel,Comic
Miles Morales- Spider-Man (2018)/Miles Morales- Spider-Man (2018) #15.cbz,Miles Morales: Spider-Man (2018),Miles Morales: Spider-Man (2018) #15,15,,2020,2,Saladin Ahmed,Javier Garrón,Marvel,Comic
Miles Morales- Spider-Man (2018)/Miles Morales- Spider-Man (2018) #16.cbz,Miles Morales: Spider-Man (2018),Miles Morales: Spider-Man (2018) #16,16,,2020,3,Saladin Ahmed,Cory Smith,Marvel,Comic
Miles Morales- Spider-Man (2018)/Miles Morales- Spider-Man (2018) #17.cbz,Miles Morales: Spider-Man (2018),Miles Morales: Spider-Man (2018) #17,17,,2020,6,Saladin Ahmed,Carmen Carnero,Marvel,Comic
Miles Morales- Spider-Man (2018)/Miles Morales- Spider-Man (2018) #18.cbz,Miles Morales: Spider-Man (2018),Miles Morales: Spider-Man (2018) #18,18,,2020,9,Saladin Ahmed,Carmen Carnero,Marvel,Comic
Miles Morales- Spider-Man (2018)/Miles Morales- Spider-Man (2018) #19.cbz,Miles Morales: Spider-Man (2018),Miles Morales: Spider-Man (2018) #19,19,,2020,10,Saladin Ahmed,"Carmen Carnero, Marcelo Ferreira",Marvel,Comic
Miles Morales- Spider-Man (2018)/Miles Morales- Spider-Man (2018) #20.cbz,Miles Morales: Spider-Man (2018),Miles Morales: Spider-Man (2018) #20,20,,2020,11,Saladin Ahmed,Marcelo Ferreira,Marvel,Comic
Miles Morales- Spider-Man (2018)/Miles Morales- Spider-Man (2018) #21.cbz,Miles Morales: Spider-Man (2018),Miles Morales: Spider-Man (2018) #21,21,,2020,12,Saladin Ahmed,Marcelo Ferreira,Marvel,Comic
Miles Morales- Spider-Man (2018)/Miles Morales- Spider-Man (2018) #22.cbz,Miles Morales: Spider-Man (2018),Miles Morales: Spider-Man (2018) #22,22,,2021,1,Saladin Ahmed,Natacha Bustos,Marvel,Comic
Miles Morales- Spider-Man (2018)/Miles Morales- Spider-Man (2018) #23.cbz,Miles Morales: Spider-Man (2018),Miles Morales: Spider-Man (2018) #23,23,,2021,2,Saladin Ahmed,Carmen Carnero,Marvel,Comic
Miles Morales- Spider-Man (2018)/Miles Morales- Spider-Man (2018) #24.cbz,Miles Morales: Spider-Man (2018),Miles Morales: Spider-Man (2018) #24,24,,2021,3,Saladin Ahmed,Carmen Carnero,Marvel,Comic
Miles Morales- Spider-Man (2018)/Miles Morales- Spider-Man (2018) #25.cbz,Miles Morales: Spider-Man (2018),Miles Morales: Spider-Man (2018) #25,25,,2021,4,Saladin Ahmed,Carmen Carnero,Marvel,Comic
Miles Morales- Spider-Man (2018)/Miles Morales- Spider-Man (2018) #26.cbz,Miles Morales: Spider-Man (2018),Miles Morales: Spider-Man (2018) #26,26,,2021,5,Saladin Ahmed,Carmen Carnero,Marvel,Comic
Miles Morales- Spider-Man (2018)/Miles Morales- Spider-Man (2018) #27.cbz,Miles Morales: Spider-Man (2018),Miles Morales: Spider-Man (2018) #27,27,,2021,6,Saladin Ahmed,Carmen Carnero,Marvel,Comic
Miles Morales- Spider-Man (2018)/Miles Morales- Spider-Man (2018) #28.cbz,Miles Morales: Spider-Man (2018),Miles Morales: Spider-Man (2018) #28,28,,2021,7,Saladin Ahmed,Carmen Carnero,Marvel,Comic
Miles Morales- Spider-Man (2018)/Miles Morales- Spider-Man (2018) #29.cbz,Miles Morales: Spider-Man (2018),Miles Morales: Spider-Man (2018) #29,29,,2021,8,Saladin Ahmed,Christopher Allen,Marvel,Comic
Miles Morales- Spider-Man (2018)/Miles Morales- Spider-Man (2018) #30.cbz,Miles Morales: Spider-Man (2018),Miles Morales: Spider-Man (2018) #30,30,,2021,9,Saladin Ahmed,Carmen Carnero,Marvel,Comic
Miles Morales- Spider-Man (2018)/Miles Morales- Spider-Man (2018) #31.cbz,Miles Morales: Spider-Man (2018),Miles Morales: Spider-Man (2018) #31,31,,2021,10,Saladin Ahmed,Christopher Allen,Marvel,Comic
Miles Morales- Spider-Man (2018)/Miles Morales- Spider-Man (2018) #32.cbz,Miles Morales: Spider-Man (2018),Miles Morales: Spider-Man (2018) #32,32,,2021,11,Saladin Ahmed,Christopher Allen,Marvel,Comic
Miles Morales- Spider-Man (2018)/Miles Morales- Spider-Man (2018) #33.cbz,Miles Morales: Spider-Man (2018),Miles Morales: Spider-Man (2018) #33,33,,2021,12,Saladin Ahmed,Michele Bandini,Marvel,Comic
Nine Stones (2021)/Nine Stones (2021) #01.cbz,Nine Stones (2021),Shadow,1,,2016,9,Samuel Spano,Samuel Spano,Behemoth,Comic
Nine Stones (2021)/Nine Stones (2021) #02.cbz,Nine Stones (2021),Are You Hungry? Part 1,2,,2016,9,Samuel Spano,Samuel Spano,Behemoth,Comic
Nine Stones (2021)/Nine Stones (2021) #03.cbz,Nine Stones (2021),Are You Hungry? Part 2,3,,2016,9,Samuel Spano,Samuel Spano,Behemoth,Comic
Nine Stones (2021)/Nine Stones (2021) #04.cbz,Nine Stones (2021),The Present Part 1,4,,2016,10,Samuel Spano,Samuel Spano,Behemoth,Comic
Nine Stones (2021)/Nine Stones (2021) #05.cbz,Nine Stones (2021),The Present Part 2,5,,2016,10,Samuel Spano,Samuel Spano,Behemoth,Comic
One Shots/Art of Usagi Yojimbo (2004).cbz,,Art of Usagi Yojimbo (2004),,,2004,,Stan Sakai,Stan Sakai,Dark Horse,Hardcover
One Shots/Batman- The Killing Joke (1988).cbz,,Batman: The Killing Joke (1988),,,1988,,Alan Moore,Brian Bolland,DC,Trade Paperback
